,secID,ticker,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
95,000001.XSHE,1,XSHE,2015/5/27,16.62,16.62,16.62,16.91,16.4,16.48,234121774,3888992246,107014,0.0198,0.787712216,1.95E+11,2.36E+11,-0.0084,11.5722,10.4729,1.7249,1,16.611
96,000001.XSHE,1,XSHE,2015/5/28,16.48,16.48,16.5,16.51,15.43,15.5,273306115,4404154743,137909,0.0232,0.787712216,1.83E+11,2.22E+11,-0.0595,10.8841,9.8501,1.6224,1,16.114
97,000001.XSHE,1,XSHE,2015/5/29,15.5,15.5,15.51,15.67,15.11,15.32,201493291,3103543671,99260,0.0171,0.787712216,1.81E+11,2.19E+11,-0.0116,10.7577,9.7357,1.6035,1,15.403
98,000001.XSHE,1,XSHE,2015/6/1,15.32,15.32,15.33,15.98,15.19,15.9,215836230,3365459275,95904,0.0183,0.787712216,1.88E+11,2.28E+11,0.0379,11.1649,10.1043,1.6642,1,15.593
99,000001.XSHE,1,XSHE,2015/6/2,15.9,15.9,15.89,15.9,15.52,15.77,190482203,2991564978,89653,0.0161,0.787712216,1.86E+11,2.26E+11,-0.0082,11.0737,10.0217,1.6506,1,15.705
100,000001.XSHE,1,XSHE,2015/6/3,15.77,15.77,15.77,15.95,15.5,15.83,197523179,3103860651,93394,0.0167,0.787712216,1.87E+11,2.27E+11,0.0038,11.1158,10.0598,1.6569,1,15.714
101,000001.XSHE,1,XSHE,2015/6/4,15.83,15.83,15.85,16.58,15.66,16.37,368253272,5971846071,174565,0.0312,0.787712216,1.93E+11,2.34E+11,0.0341,11.495,10.403,1.7134,1,16.217
102,000001.XSHE,1,XSHE,2015/6/5,16.37,16.37,16.7,16.8,16.03,16.3,285545624,4681142526,130545,0.0242,0.787712216,1.92E+11,2.33E+11,-0.0043,11.4458,10.3585,1.7061,1,16.394
103,000001.XSHE,1,XSHE,2015/6/8,16.3,16.3,16.32,17.45,16.19,17.29,508605027,8596942094,240327,0.0431,0.787712216,2.04E+11,2.47E+11,0.0607,12.141,10.9876,1.8097,1,16.903
104,000001.XSHE,1,XSHE,2015/6/9,17.29,17.29,17.36,17.45,16.68,16.98,328696753,5601775951,159701,0.0278,0.787712216,2.00E+11,2.43E+11,-0.0179,11.9233,10.7906,1.7773,1,17.042
